doc_id,para_id,author,paragraph
10D,10D_126,Q,"Yeah, yeah. This is qualitative research and I'm very qualitative. The models that I do are more concepts so you get the sense of the complexity rather than -"
10D,10D_127,A,Yep.
10D,10D_128,Q,Board functioning. We want to understand how diversity influences board functioning. Can you describe -
10D,10D_129,A,"Well it can, but it ends up coming down to whether the chair is able to manage it in a way - so everyone's different. It's how do you manage the setting to allow people to - create space for people to step into to have their views aired, heard, discussed, debated in a constructive, supportive way. The good ones do it really well. The bad ones don't do it at all."
10D,10D_13,A,"Yeah, yeah, more than five. But I don't - I've got a bunch that are small and private."
10D,10D_130,Q,"Is it an investment, do you think? It takes a while?"
10D,10D_131,A,"Yeah, yeah. It's a skill. That's on the skills matrix [overtalking] 00:36:12 -"
10D,10D_132,Q,That's on the skills matrix [laugh] -
10D,10D_133,A,"- for the chair. And unfortunately, it does come with experience. I would always say to - we've got a pretty good chair at MLC. That's why I was comfortable to recommend that [Gabrielle] stick her hand up. Whereas it probably wouldn't work on another board I'm on where there would be no - this particular chair is - he's fine, but it's not the greatest dynamic. So it wouldn't work. Right?"
10D,10D_134,Q,"Yeah. Because even if she got on for some token reason, she wouldn't be able to [overtalking] 00:36:46 -"
10D,10D_135,A,"Well even if the board accepted it, you've still got to be able to perform in that and you've got to be able to create the right environment. And not everyone's good at that."
10D,10D_136,Q,Yes. It would be then token. Is that right?
10D,10D_137,A,"Yeah, possibly."
10D,10D_138,Q,Yeah. Or [overtalking] 00:37:00.
10D,10D_139,A,Well intentioned but ineffective.
10D,10D_14,Q,"When you say private, do you mean they're not-for-profit or -"
10D,10D_140,Q,"Ineffective. Because another question down here is about how the voice of the person from a - maybe a different background or a disadvantaged, less powerful, influential background - let's say everyone's men and there's one female or everyone's from drives Ferraris and one person uses the tram and doesn't have a Ferrari and didn't go to a private school - so socioeconomic differences - so those sort of differences, if there's not the space created, what's that look like? Can you - do you know what I mean? I'm trying to get a feel for - is it conflict? Is it -"
10D,10D_141,A,"No, it's not conflict. It's just they don't get a voice and they withdraw. See, when I say creating space, you've actually got to ask open-ended questions and invite people into the conversation sometimes. Particularly people who feel like, actually, I'm sitting - now it can happen in both - it can happen a different way, as well, where someone feels like <groans> I'm here [inaudible] 00:38:15 - now I need to get thing - and that's not constructive as well. So again, it just comes back to - particularly it’s the role of the chair to create the right environment to allow everyone to contribute. And that's how it can be effective."
10D,10D_142,A,"The flip side to that is, if they don't, then the person either withdraws or tries to inject themselves and it does create tension. Maybe not conflict, but at least tension. Which is not - tension's okay, but, at a point, becomes destructive."
10D,10D_143,Q,Can you describe that shift? Give me an example.
10D,10D_144,A,"I was on a board some years ago where the chair was ineffective. Actually, I got frustrated because I didn't feel I was getting a voice and there was just this lots of stuff going around. In retrospect, I injected in a way that was not healthy and created some conflict by getting quite forceful with - like I need to say and here's what I'm really feeling about these things is wrong. And what [inaudible] 00:39:25 it took a couple of months to recoup it."
10D,10D_145,A,"But what it pointed out was it was a bit dysfunctional and that this particular chair was not performing right. So that led to a whole set of different conversations. Which, in the end, worked out because that chair moved on and we've got a much better chair. And all of a sudden, the dynamic - not much else has changed around the board other than that. So some conflict can flesh stuff out, but it's also quite painful. [Long pause] and that's another example of someone who was on a board because it was all about me."
10D,10D_146,Q,Yep. They didn't have the skills -
10D,10D_147,A,"Didn't have the skills or the awareness just to go, actually, this is a broader thing and if I do this right, I will benefit from it. But it was all about this is my opinion, this is my view, and you can't do that because that will upset over here and I don't want that on my CV. It's like, okay. So, it was an interesting dynamic. But in the end, it worked out."
10D,10D_148,Q,"But interestingly, a skills matrix would not bring that out, would it?"
10D,10D_149,A,No.
10D,10D_15,A,"No, they're private for profit. They're not listed. They're not public companies. So they're private investments. Mainly software. Some of them, I sit on the board of. Some of them, I don't but I just spend time with the CEO because they're a bit more - less formal, which is not necessarily a great thing. So it's partly how do you mature an organisation. So, I don't know, there's a couple I sit on the board of, a couple I don't, but just spend time with the CEO as and when required. Or roll up my sleeves and help on a project. Then there's three that I do sit on the board of in a not-for-profit, or for-purpose, I would say. Then there's two which I call professional director; larger companies. [Overtalking] 00:04:25 six or seven."
10D,10D_150,Q,For the chair.
10D,10D_151,A,"This particular person ticked all the boxes according to the previous chair and board. Ticked all the boxes. Female, IT, [inaudible] 00:40:39, all those sort of things. But there was no dynamic on personality or engagement; all of those - which - anyway -"
10D,10D_152,Q,"Yeah. The soft skills. Okay. We want to understand - [mumbling/reading not transcribed] [long pause] Okay, look, I think you'd be really useful in answering this specifically. Are there any board functions that you feel diversity has little bearing on or none at all?"
10D,10D_153,A,No.
10D,10D_154,Q,What about that capitalist situation?
10D,10D_155,A,"We still need - I mean, again, that comes down to what's diversity at that point? Do you have a - even that's got a conversation. Do you have a fund manager, an asset consultant, an accountant, a lawyer? That's diversity, right? That's just diversity about thinking about a particular problem. So you're always going to have - you should always have - if you've got five accountants sitting around, you'll come up with exactly the same answer. Is that diversity? Nope."
10D,10D_156,Q,I'm smiling with glee because you said what is diversity at that point? That encapsulates it. It encapsulates what you're saying. It is so dynamic.
10D,10D_157,A,And it's very situational specific [overtalking] 00:42:00 -
10D,10D_158,Q,Exactly.
10D,10D_159,A,"And even within an organisation, to a - and you keep going down - yeah -"
10D,10D_16,Q,"Wow. Wonderful mix. We'll be drawing on that. In your answers, if you need to specify, say this is in the for profit sector - but because of this diversity you have - of experience at board level, it will be really helpful to compare and to say, well look, in this sector, in this type of - like you said private, not listed, for profit - you see, that's not even a category we have [laugh]."
10D,10D_160,Q,What decision are we looking at at this moment? What's the problem we're trying to solve or -
10D,10D_161,A,Yeah. What thinking do we need to bring around to make sure we actually cover a problem?
10D,10D_162,Q,Beautiful. I love it. That's it quotes. Now I'd like to explore how diversity might contribute to conflict. You've described a bit the tension between - the difference between tension and conflict. Is there anything further you want to say about that?
10D,10D_163,A,No. [Inaudible] 00:42:31.
10D,10D_164,Q,There's a lot of talk about cognitive diversity and board functioning. Cognitive diversity; have you heard that term?
10D,10D_165,A,I have. Don’t understand it.
10D,10D_166,Q,"Yeah. There's some literature on it which talks about it as different approaches to problem solving, different perspectives or different information processing styles. So it's very cognitive, whereas you were talking [overtalking] 00:42:55 -"
10D,10D_167,A,"Yeah. It's just another [overtalking] 00:42:56. [Long pause] but it's also think - so if I understand that right, it's thinking. So I sit on the board where I'm pretty sure one of the guys is - it is a guy - is on the autism spectrum. He's very literal and he's got a really good application of thinking around frameworks. Because he needs to - as part of this - I need to have it sit within a framework every time I think about it, otherwise it's not good for - and he's really quite constructive in certain conversations. In other conversations, it's hopeless. Because it's not [inaudible] 00:43:38 - so it's trying to manage that. But that's another form of diversity that really can be quite powerful. Managed appropriately."
10D,10D_168,Q,Yeah. That would be really interesting because anxiety can be a problem -
10D,10D_169,A,"Yep. That then brings out a manifest in different emotional responses. Which then can bring in tension to conflict. You know, all of a sudden, the whole constructive - I think you've got to have a bit of tension in certain conversations to healthily debate. But it's a challenge to make sure it's managed and -"
10D,10D_17,A,Well it's a private company. It's raised some money and has a small number of shareholders.
10D,10D_170,Q,Yeah. So help to manage that would be good.
10D,10D_171,A,Yeah.
10D,10D_172,Q,"When identifying potential new members, you've talked about - okay, we'll move on. Do people inside the board influence your selection process? Yeah. How does your subcommittee work with a head hunter or whatever you'd call them?"
10D,10D_173,A,It just depends on the circumstances again.
10D,10D_174,Q,"It really varies, does it?"
10D,10D_175,A,Yeah.
10D,10D_176,Q,"Okay. Of course, you did talk about that enough then. Do you feel [inaudible] 00:44:43 [long pause]? Okay. Do you feel that tensions can arise in the board selection process, for example, between, on the one hand, trying to obtain a collegiate fit and, on the other, trying to avoid group think? So this is, once again, focussed on problem solving, thinking. So collegiate fit; that they'll work - even with your diverse picture of culture and we don’t want to have everyone thinking the same way."
10D,10D_177,A,So what's the question?
10D,10D_178,Q,"Do you feel that tensions can arise in the board selection process because of - some people want collegiate fit and are looking for that culture. And it could be a diverse culture. And others looking at, right, how do they think? We want someone who can think really differently."
10D,10D_179,A,"I can't answer that generically. I think it just - again, it will just depend on the situation, the board, how that conversation's structured, generally by the chair."
10D,10D_18,Q,But it's not listed.
10D,10D_180,Q,"See, I'm thinking the way you describe diversity - see, this is a - I think the way you describe diversity resolves that tension."
10D,10D_181,A,It should.
10D,10D_182,Q,"This is a tension that's in the literature, so it's not -"
10D,10D_183,A,"Yeah, it should."
10D,10D_184,Q,"I think the way you define it [long pause] encompasses both those things. Because you include personality and how that fits in with the culture - you don't want everyone the same - and the different values, [bases] 00:46:29 and all that sort of stuff that goes with it, plus the different ways people problem solve - you see that all as part of the diversity picture."
10D,10D_185,A,Yeah.
10D,10D_186,Q,So it's then - part of the broader question is how do the board manage diversity? Which we've talked about.
10D,10D_187,A,Yep.
10D,10D_188,Q,"Okay, that's interesting, because that's a bias in the literature. From your definition of diversity. Do the boards that you're familiar with have any barriers to managing -"
10D,10D_189,A,"I’m not sure that it's - maybe it is a bias. But it's a way of thinking that [I don't get] 00:46:54. Because it's coming from more of a traditional framework - this is how it - well no, it's not. But maybe I'm thinking about it wrong. Anyway, I don't - I haven't read the literature."
10D,10D_19,A,Yeah. It's not a public company.
10D,10D_190,Q,"No, no. There's no right or wrong - literature varies. It's just that some literature will - it depends on what paradigm you're working from."
10D,10D_191,A,True.
10D,10D_192,Q,"But anyway, I'll be interested to connect your paper with your thinking with it. Do the boards that you're familiar with have any barriers to managing or building its diversity?"
10D,10D_193,A,Yes.
10D,10D_194,Q,How have you sought to overcome them? And were those barriers present five years ago?
10D,10D_195,A,"Yes, yes and yes [laugh]."
10D,10D_196,Q,Right. What sort of barriers are there then?
10D,10D_197,A,Well it's that whole thinking - this is how we think. It's not thinking well how does - how do other of our constituents think? Whether that be shareholders or customers or team or school students. How do they think? Because we think like this but - so that's the barrier. A closed mind. It's not asking questions about what should we and how should we and what's different. [Inaudible] [overtalking] 00:48:14 -
10D,10D_198,Q,[Overtalking] 00:48:14
10D,10D_199,A,"- let's do a skills - we need someone who's got an accountant - okay, great. Well we'll [inaudible] 00:48:18 - well that's fine, but that's just one dimension. It's just - you've got to go the other way. Anyway -"
10D,10D_2,A,"Well, it's part of it, yeah."
10D,10D_20,Q,"Okay. First, how have the composition of boards that you're familiar with changed over time? When did you first get on a board? How many years ago?"
10D,10D_200,Q,So a stakeholder focus is [overtalking] 00:48:31 -
10D,10D_201,A,Yeah. Think about who are our stakeholders. Well it's not missing. It's just - I guess I keep coming back to there's still this propensity for functionality. As opposed to -
10D,10D_202,Q,Engagement.
10D,10D_203,A,"engagement thinking, whatever you want to call it."
10D,10D_204,Q,Stakeholder engagement is not given as much importance as functionality. So why do you think this is the case?
10D,10D_205,A,That's changing. That is changing. But it's still a bit of lip service.
10D,10D_206,Q,Do you think there might be some institutional reasons why -
10D,10D_207,A,"Well, [this is why I] 00:49:03 come back to - so in my example, if Lindsay Maxsted said, I want to appoint a 25 - you know, I keep banging on about [Gabrielle] because it's just front of mind."
10D,10D_208,Q,She's a good example.
10D,10D_209,A,"She's a great example. There would be howls from the shareholders. Well that's bloody ridiculous. What experience - what could she possibly bring to bear? Now it's up to him to articulate that. But we've got this whole stakeholder group who are up and coming bank consumers who we're not - we're not thinking about how we're going to engage with them in ten, 15, 20 years now. Because we're all 60+, ex-bankers, or there's accountants, maybe a software person or an exCEO. But we can't possibly think like they do."
10D,10D_21,A,"Fifteen years ago. I haven't really thought about it in too much detail. But the requirements are different. There seems to be this driver, you know, you should sit on boards and - so I was like - so this is my perspective. There's a lot of people driving to get board seats because they think it's an entrée to stuff. And it's like, well no. The better performing boards I have seen are ones where people are curious and supportive and doing it for a broader reason rather than a me reason. And there's a lot of people who do it for a me reason. They want an income. They want status. They want blah-blah-blah. And most of those - I have a personal issue with that because I just don't think that's the right way to approach it. But that's just my view. So I don't have a broader perspective on boards because I haven't sat on huge amounts, but I've seen things go -"
10D,10D_210,Q,"So you see it as, okay, the stakeholders - the consumers - I'm wondering is there anything in the regulatory institutions that might be shaping this focus - priority given to functional dimensions of the board. No?"
10D,10D_211,A,"[Inaudible] 00:50:20. Because they're always five, ten, 15 years behind what's actually happening, writing checklists. The ASX have a checklist you've got to fill out. ASIC have a checklist you've got to fill out if you're a public company. It's like, okay, well that's fine. I can fill out a checklist. I can tick any box you'd like because I can justify it in any way you want. It's actually creating more of an issue rather than - that's because it's not - it's forcing people think about how they fit in the box, not how they fit outside the box. Do you know what I mean?"
10D,10D_212,Q,I do.
10D,10D_213,A,"How do I make sure I can tick that box, because I know I've got to. As opposed to how do I actually think about, outside the box, how I drive my business forward? Which is why everyone's swung to governance. Governance is about ticking boxes."
10D,10D_214,Q,So this bounded thinking. The boxes reinforce a bounded way of thinking.
10D,10D_215,A,"Yeah. Correct. I've got to figure out how I fit in the box, as opposed to how I fit outside the box."
10D,10D_216,Q,"Yeah. And that is reinforced. You're patted on the back when you do, so there's reinforcement."
10D,10D_217,A,Yeah. Tick. [Overtalking] 00:51:30. Yeah.
10D,10D_218,Q,"The board feels good. It's done its bit. And responsibility is redefined as fitting in with these boxes. It's those bounded, multi-level - bounded thinking. I like that. That's a good one. Okay, from a - how do you feel - so great. How do you feel about targets - gender targets and quotas to influence board diversity?"
10D,10D_219,A,Can't stand them.
10D,10D_22,A,"And I've probably more migrated to - and I've culled over time the boards where there's more of the ""it's about me"" to those that - where there's actual I'm giving something. Yes, I'm receiving in return sometimes. Not all the time. But I might be receiving return on my investment. I might be managing my investment. Or I might be getting a fee. But the boards that I see more effective - and that's because that's what I've focussed on is where there's a bunch of people who bring a wide set of skills, experience, thinking, but want to give that first. They want to get back. I love sitting on boards because I want to get back and - whether that's a remuneration or thing. But primarily, I've got to get learning back. If I don't get any learning back, what's the point?"
10D,10D_220,Q,[Laugh] do you want to say that in one sentence? Explain why.
10D,10D_221,A,Throw them out.
10D,10D_222,Q,Because?
10D,10D_223,A,Because they just - they're missing the point.
10D,10D_224,Q,"I'll go back to your definition of - definitions - I'll try and make it a definition of diversity because it's very interesting. The thing is, if the - we want more diversity on boards, let's say, and we want regulation as a lever to facilitate that."
10D,10D_225,A,Do you?
10D,10D_226,Q,"Well we might. Because we might think, well -"
10D,10D_227,A,Why do you want it?
10D,10D_228,Q,"Well we might think that that would help to boost it. It certainly has increased the number of women on boards, having targets."
10D,10D_229,A,Is that a good thing?
10D,10D_23,Q,I haven't heard that one. [Overtalking] 00:07:17 -
10D,10D_230,Q,"If you think that having more women on boards is a good thing, it's a good thing."
10D,10D_231,A,Really?
10D,10D_232,Q,To be able to measure it and show - well it's like a pat on the back. Isn't that a good thing?
10D,10D_233,A,Is it?
10D,10D_234,Q,So you would be sceptical about any regulation -
10D,10D_235,A,"Why would you - if I said to you, you've got to employ five research assistants. Two of the have to be female. You get 100 applications and the ten best just happen to be male. How would you feel?"
10D,10D_236,Q,You're compromised.
10D,10D_237,A,"Correct. That's how - so if there's a failure, the failure is not in the regulation. The failure is to take risks to help people get the experience they need to be performing. The failure is - and you're promulgating the failure by saying you've got to tick the box. You've got to tick the box because you've got to have a 50% diversity as measured in gender. That's wrong."
10D,10D_238,Q,"What if it was - see, I don't know. The things that you've identified that are [long pause] real diversity, the one that matters most to you, are hard to quantify and, therefore, measure."
10D,10D_239,A,"But why do you need to measure them? Measurement is in performance. So I look at it and go, how do you measure the success of an organisation. Which is an organism made up of many, many, many different things. Of which the board is a small part. But the fish rots from the head. That's how I feel about it. And if you don't get that bit right, ultimately, it will come home. It mightn't ruin you, but you'll underperform. So then you get to a question of what is performance and how do you measure success? And every organisation, again, is different because if you're a for-purpose organisation, you measures of success might be how many people did you help get shelter and a home or whatever it is. So look at it and go why are forcing success to be measured on how many people you have sitting on the board that are male or female? It's just dumb."
10D,10D_24,A,"That's just me personally, where I see things. But if you're not getting back - if you're not learning, well what are you doing? You might as well go and get a job, punch the clock."
10D,10D_240,Q,"The thing is, with regulation; it imposes an understanding of performance on an organisation that you believe should be developing its own measures of performance. Because they're the real ones. Is that -"
10D,10D_241,A,"Yeah. How can a regulator tell me how to run my business? I mean, within reason. Obviously you've got to - there's certain rules around how you operate and stuff. But if you're telling me how many people I need to have - it's like I - if I don't know my business and I don't think having half the workforce female is a help to my business, then I've probably got a problem anyway, because that's the world. So don't tell me that that's what I've got to do. Actually help me figure out a way to populate my business with the requisite skills and experience, personality types to be successful in whatever it is I'm choosing to do."
10D,10D_242,A,"And that then comes back to, well okay, so if I'm really good and I'm not getting enough - and I know half the population think like this and I know actually in my dynamic of my organisation, I get a good blend of response and interaction as a team if I'm half and half female/male, for example. Why wouldn't I spend money on working with a university to source - to help upskill graduates to make sure that what's coming through fills in better - do you know what I mean?"
10D,10D_243,Q,"Yeah, I do."
10D,10D_244,A,"And at a board level, why don't I spend time giving back to the community, because I'm helping myself, coaching. You do [overtalking] 00:56:58 -"
10D,10D_245,Q,Managers. Yeah.
10D,10D_246,A,"Yeah, yeah. What is it they need to be - and giving them - oooh, why don't I take a risk and put someone on my board that - it may not work out, but actually it's helping foster that - and you know what? Most people won't take that risk. In the public sense. Back to my example, and it's just an example, obviously. They won't because the capital providers will howl in protest when Lindsay turns up and says this is our new board member. She's 24 or 25. Again, I'm just banging on -"
10D,10D_247,Q,Yeah. And she's never been a CEO and she's never -
10D,10D_248,A,"Yeah, [overtalking] 00:57:32. She's an entrepreneur. She's really financially savvy. She knows how to use tech. And by the way, she speaks Chinese and she really understands - you know, he's got all this - I'm getting carried away now. [Inaudible] 00:57:46 and he won't do it because he'll probably get a REM strike next times around. As a backlash. Probably. Now I'm not sure that's necessarily the case. I think he takes more risks than others. But there's a vast thinking that I can't take that risk."
10D,10D_249,Q,So risk perceptions of the media - do you think media plays a role in this?
10D,10D_25,Q,Exactly. You mentioned boards being effective. What do you mean by that?
10D,10D_250,A,"Yeah, probably."
10D,10D_251,Q,"I mean, Hayne's report has been a bit shaming the way it's been taken up by the media. It's been amazing -"
10D,10D_252,A,It's great. I think that's great. I think it's fabulous.
10D,10D_253,Q,I know. But from a board -
10D,10D_254,A,"Because it's straight back to you can tick all the boxes you bloody well like; if you don't drive a culture that is principles based and values based, you're going to fail."
10D,10D_255,Q,So then regulation could be more principles based and values based then. Instead of being measures -
10D,10D_256,A,"[Laugh] try that, yeah. Yeah, possibly."
10D,10D_257,Q,"- it's about culture. Finally, looking ten years into the future - this is our final question. Looking ten years into the future, how would you like to see diversity of Australian boards? Why do you think this would be good? And I think given how you've talked, what do you think needs to be done or what can be done to enable boards to more confidently manage the risks that might be, especially at the top end of town?"
10D,10D_258,A,"[Inaudible] 00:59:09. The risk at the top end of town of stuffing up has a massive impact. If a big bank fell over, for example, the impact on all of us would be horrific. Well, quite alarming anyway. So how do they [inaudible] 00:59:26? Well again, I guess we're - this is where the governance is. Well I'm managing risk. Well are you really managing risk or are you managing what you've been told is a regulatory approach to - and if you've done that, you should be fine. How does someone in ASIC have the foggiest notion about really what's going on in your business? They don’t. APRA probably should have around banks and capital but, honestly, they don't because the dynamic is [inaudible] 00:59:55 push that to one side and say, the risks you've got to take are encouraging diversity in thinking. And possibly that means you've got to put your neck out there a bit more. And there are ways to do that as well. You don't have to appoint someone immediately to a board. You can have [overtalking] 01:00:14 -"
10D,10D_259,Q,[Subcommittee] 01:00:14.
10D,10D_26,A,Being able to constructively have conversations around hard issues and provide the right support to the CEO.
10D,10D_260,A,Or subcommittee. Or you can have an advisory group. There's many different ways again. But how do you actually bring that in and start that change? It's too slow.
10D,10D_261,Q,"Too slow. So in ten years' time, it won't be different enough."
10D,10D_262,A,I don't think so.
10D,10D_263,Q,Well that's a good way to end [laugh].
10D,10D_264,A,"Well I don't think so unless something fundamentally changes. But that means this generation - and it is a generational change - have to wake up. But why are we having - so one of the organisations we spend a lot of time supporting and money supporting is AYCC, Australian Youth Climate Coalition. They're absolutely focussed on climate change. Yet we've got all these politicians who are 30, 40 years, 50 years older who have not the slightest clue because they're all - the vested interests are different. And you're soft of going - we're fundamentally - I'm sorry. I'll crap on now. But there's a societal change that needs to happen far faster. And actually, some of the younger people have got their heads screwed on."
10D,10D_265,Q,"Yeah, I think so."
10D,10D_266,A,"But nothing's going to change until this generation wake up and go, you know what? Actually, we're onto something. We need to move with it."
10D,10D_267,Q,The baby boomers are really holding up this change.
10D,10D_268,A,Yep.
10D,10D_269,Q,So it's an age thing. Maybe age diversity would be better than gender [laugh] -
10D,10D_27,Q,"That is a really neat - I want to have that bolded, please, transcriber. It's a good definition. So how important do you think it is to have a diverse board? Let's say ten is extremely and one is not at all. Where would you put that diversity on boards?"
10D,10D_270,A,"[Overtalking] 01:01:41 first thing in my book is a massive one. For the experience. And everyone thinks, but you haven't had experience in running a bank or - no, of course. I couldn't possibly have because I'm 25. But what I have experienced is growing up with technology and how it's impacted and influenced my life and my peers. And how I think about the world in completely different ways to you. And how it's going to be my responsibility to clean up -"
10D,10D_271,Q,The situation left [laugh].
10D,10D_272,A, the mess that you guys have created.
10D,10D_273,Q,Yeah. Oh wow. Age diversity then.
10D,10D_274,A,Well that's part of it. There's plenty more.
10D,10D_275,Q,"Yeah, I know. You've given such a broad view. It's wonderful. I can't get over how different view - how so many different understandings of diversity and it - and it, in part, reflects -"
10D,10D_276,A,"Well that's diversity itself, isn't it?"
10D,10D_277,Q,I know. Exactly. But it's wonderful. It's wonderful. And this is not [long pause] - now I've interviewed quite a spectrum of age - not a lot of people - 15 people. But these spread - I haven't interviewed anyone below 30 though.
10D,10D_278,A,You need to.
10D,10D_279,Q,But it's hard. Yeah. What about your girl? Do you reckon -
10D,10D_28,A,It depends on how do you describe diversity?
10D,10D_280,A,"I could - [overtalking] 01:03:06 - yeah, no, she'd [love] 01:03:08 to. She loves this stuff."
10D,10D_281,Q,It would be amazing.
10D,10D_282,A,Just remind me your - shoot me an email and -
10D,10D_283,Q,[Overtalking] 01:03:17 I will send you a thank you -
10D,10D_284,A,Yep. And I'll pop you in touch with [Gabrielle] and [inaudible] 01:03:23. I think she's a good perspective. Yeah. Just another one that -
10D,10D_285,Q,It would be wonderful. It works -
10D,10D_29,Q,"Well then I'm just going to ask you that, but I don't want to [laugh] -"
10D,10D_3,Q,Can you just describe that for me? Give me a - your background - because it's really - it influences how you see diversity and it gives me a context for analysing this transcript.
10D,10D_30,A,Well how do you describe it?
10D,10D_31,Q,But I don't want to lead you. So it's your -
10D,10D_32,A,"Okay. So diversity in thinking, yes. I guess, again, I would say that I've seen - and this is just, again, [inaudible] 00:08:26 - there seems to be this swing to diversity is male/female - it's gender related. And I think [inaudible] 00:08:32 okay, maybe. But there's so much more around diversity that [long pause] - it's just - that's just - I don't get that, basically, that almost sole focus on it."
10D,10D_33,A,"To give you an example, one of the boards I sit on was MLC and there's a bunch of accountants and lawyers. There's a good mix of male and female. There's a psychologist. There's a couple of educators. Which is all great. So we went through - each year, some come up for retirement. Some have to leave because they're up for the term. Everyone wants to be on this board. So it's like, okay, I got there for a different reason, but [long pause] - when it came up, there was a couple of people - people apply regularly. There's a mix of old collegians and some - but the one thing -"
