,doc_id,para_id,author,paragraph,emotion_profile,emotion_keywords
10,10D,10D_108,Q,"- that could be a situation that would put pressure - so that tension between short and long term thinking, priorities - because of the capital - if I'm understanding it -","{'sadness': 0, 'anger': 0, 'disgust': 0.017, 'surprise': 0.024, 'fear': 0.061, 'joy': 0.138, 'anticipation': 0.399, 'trust': 0.402}","['could', 'would', 'if', 'because', 'so']"
11,10D,10D_109,A,"Yeah. It could. For example, if BHP turned up tomorrow and said, we've got a 25-year-old - we'll use my example, [inaudible] 00:31:56. Twenty-five year old, Chinese-born – first-generation, Chinese-born, 25-year-old blah-blah-blah with this experience [inaudible] 00:32:04 - they go, well hang on, that's ridiculous. There'd be a massive backlash. You've got no experience. She mightn't in the vein that you're thinking, which is all about short term profits and stuff. But actually, in longer term, helping the board think through how - and BHP's probably not an example. Banks [are] probably a better example actually, now I think about it - Westpac. They'd still - there'd be a massive backlash. No experience, blah-blah-blah. What are you doing? So they just wouldn't do it.","{'joy': 0, 'anticipation': 0, 'trust': 0.02, 'fear': 0.026, 'surprise': 0.041, 'sadness': 0.095, 'anger': 0.419, 'disgust': 0.44000000000000006}","['go,', 'But', 'could.', 'blah-blah-blah.', ""wouldn't""]"
12,10D,10D_11,A,A number. But it's -,"{'anger': 0, 'sadness': 0.024, 'trust': 0.064, 'fear': 0.082, 'surprise': 0.127, 'disgust': 0.168, 'anticipation': 0.28, 'joy': 0.296}","['But', ""it's"", 'number.', '-', 'A']"
13,10D,10D_110,Q,"Yeah, yeah. Irresponsible.","{'joy': 0, 'anticipation': 0, 'trust': 0, 'fear': 0.002, 'surprise': 0.044, 'sadness': 0.106, 'anger': 0.16, 'disgust': 0.728}","['Irresponsible.', 'Yeah,', 'yeah.']"
14,10D,10D_111,A,"Yeah, irresponsible. Even someone who's - you see some women with good backgrounds and they're in their 40s and they're like, oh well, you know, what's she - but it's okay. You've ticked the box so that's - it's like - because their focus is, you know what? We've got to have good bankers. Which is right. But you also have diversity because, basically, banking's dealing with a bunch of consumers as well. And if you've got no one around the board who's actually used an app, who understands WeChat or any of that sort of stuff - which most won't. Or go and - well we'll learn, because we'll go on a study tour to the west coast of the US and we'll charge them - like please, it's just ridiculous.","{'sadness': 0, 'anger': 0, 'surprise': 0, 'fear': 0.013, 'disgust': 0.027, 'anticipation': 0.051, 'joy': 0.20199999999999999, 'trust': 0.749}","['well.', 'well', ""that's"", 'because,', 'know,']"
15,10D,10D_112,Q,It's a no-brainer. Yeah.,"{'anticipation': 0, 'trust': 0.005, 'fear': 0.008, 'surprise': 0.023, 'joy': 0.044, 'sadness': 0.123, 'anger': 0.127, 'disgust': 0.711}","['no-brainer.', 'Yeah.', 'a', ""It's""]"
16,10D,10D_113,A,"So it does have an impact, in my view. [Overtalking] 00:33:24.","{'anger': 0, 'surprise': 0.027, 'disgust': 0.097, 'joy': 0.121, 'trust': 0.13, 'sadness': 0.132, 'fear': 0.137, 'anticipation': 0.397}","['So', 'impact,', 'does', '00:33:24.', 'it']"
17,10D,10D_114,Q,Yep. [Inaudible] 00:33:28. Do you think there's a particular kind of diversity that matters more than others? Or do you think that's situation dependent?,"{'sadness': 0, 'anger': 0, 'fear': 0.074, 'disgust': 0.096, 'joy': 0.113, 'anticipation': 0.125, 'surprise': 0.242, 'trust': 0.39099999999999996}","['dependent?', 'others?', 'Or', '[Inaudible]', 'do']"
18,10D,10D_115,A,"Yeah, it's very much situation dependent.","{'sadness': 0, 'anger': 0, 'anticipation': 0, 'fear': 0, 'surprise': 0, 'disgust': 0.019, 'joy': 0.101, 'trust': 0.9209999999999999}","['Yeah,', ""it's"", 'dependent.', 'very', 'much']"
19,10D,10D_116,Q,And you've given me an example of the young woman at the school. Because she's [overtalking] 00:33:51 -,"{'joy': 0.015, 'anticipation': 0.041, 'trust': 0.059, 'sadness': 0.091, 'surprise': 0.101, 'fear': 0.116, 'anger': 0.188, 'disgust': 0.43000000000000005}","['[overtalking]', ""you've"", 'Because', ""she's"", 'example']"
20,10D,10D_117,A,Yeah. It's situation dependent on so many different things.,"{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'anticipation': 0.003, 'disgust': 0.029, 'joy': 0.128, 'trust': 0.8790000000000001}","['Yeah.', 'different', ""It's"", 'so', 'dependent']"
21,10D,10D_118,Q,[Inaudible] 00:33:54.,"{'anger': 0.014, 'sadness': 0.019, 'trust': 0.077, 'joy': 0.085, 'fear': 0.141, 'anticipation': 0.151, 'surprise': 0.265, 'disgust': 0.28900000000000003}","['[Inaudible]', '00:33:54.']"
22,10D,10D_119,A,Well how is the board performing today? What difference is that person you add going to make in terms of the way that board works? What things are missing? What's the dynamic with the CEO and the management team? What particular challenges is that organisation facing or going to face? There's just so many different things that - are they B2B versus B2C? Are they B2B2C? What are they? There's just so many things. So that's why I look at it as you've just got to approach it on a case by case basis. Which is why I'm interested to see how can you come up with model? I struggle [overtalking] 00:34:39 -,"{'sadness': 0, 'anger': 0, 'joy': 0.076, 'fear': 0.1, 'trust': 0.121, 'disgust': 0.139, 'anticipation': 0.229, 'surprise': 0.376}","[""What's"", 'team?', 'works?', 'today?', 'why']"
23,10D,10D_12,Q,More than five?,"{'sadness': 0, 'anger': 0, 'surprise': 0.045, 'disgust': 0.056, 'trust': 0.07200000000000001, 'fear': 0.085, 'joy': 0.159, 'anticipation': 0.9384}","['five?', 'than', 'More']"
24,10D,10D_120,Q,Yeah. A very good concept of trying to come up with a model -,"{'sadness': 0, 'anticipation': 0, 'fear': 0, 'disgust': 0.002, 'anger': 0.029, 'surprise': 0.138, 'joy': 0.273, 'trust': 0.8356}","['good', 'Yeah.', 'concept', 'very', 'trying']"
25,10D,10D_121,A,- with a model. It doesn't make sense to me.,"{'fear': 0, 'trust': 0.018, 'joy': 0.031, 'anticipation': 0.038, 'anger': 0.082, 'sadness': 0.162, 'surprise': 0.314, 'disgust': 0.39499999999999996}","[""doesn't"", 'model.', 'me.', 'make', 'a']"
26,10D,10D_122,Q,"It doesn't matter. Models can be pretty organic. Ideas of models can be very schematic; a bit like a philosophical concept. You know, three words [laugh] with interesting - I don't know. I don't know. It obviously can't be a causal model.","{'sadness': 0.019, 'anticipation': 0.046, 'fear': 0.06, 'anger': 0.061, 'joy': 0.14300000000000002, 'disgust': 0.182, 'surprise': 0.224, 'trust': 0.30400000000000005}","[""doesn't"", ""can't"", 'can', 'can', 'obviously']"
27,10D,10D_123,A,I think they'd struggle.,"{'sadness': 0, 'anger': 0, 'disgust': 0.011, 'fear': 0.016, 'joy': 0.019, 'surprise': 0.029, 'trust': 0.099, 'anticipation': 0.868}","[""they'd"", 'think', 'struggle.', 'I']"
28,10D,10D_124,Q,"Because of - yeah, there's too many factors and uncertainties.","{'anger': 0, 'joy': 0.03, 'sadness': 0.122, 'trust': 0.122, 'fear': 0.123, 'anticipation': 0.193, 'disgust': 0.21200000000000002, 'surprise': 0.238}","['uncertainties.', 'Because', 'too', ""there's"", 'yeah,']"
29,10D,10D_125,A,"Well you could. But you run the risk of coming up with the wrong answer. Because you've targeted that because that's what the data seems to be saying, but what [inaudible] [overtalking] 00:35:15 all that stuff -","{'anger': 0.011, 'fear': 0.056, 'anticipation': 0.061, 'joy': 0.069, 'trust': 0.077, 'sadness': 0.133, 'surprise': 0.166, 'disgust': 0.469}","['wrong', '[inaudible]', 'but', 'But', 'because']"
30,10D,10D_126,Q,"Yeah, yeah. This is qualitative research and I'm very qualitative. The models that I do are more concepts so you get the sense of the complexity rather than -","{'sadness': 0, 'anger': 0, 'anticipation': 0, 'fear': 0, 'surprise': 0, 'disgust': 0.015, 'joy': 0.127, 'trust': 0.9}","['Yeah,', 'yeah.', 'qualitative.', ""I'm"", 'qualitative']"
31,10D,10D_127,A,Yep.,"{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'disgust': 0, 'anticipation': 0.003, 'joy': 0.149, 'trust': 0.888}",['Yep.']
32,10D,10D_128,Q,Board functioning. We want to understand how diversity influences board functioning. Can you describe -,"{'sadness': 0, 'anger': 0, 'disgust': 0.01, 'fear': 0.019, 'joy': 0.105, 'trust': 0.214, 'surprise': 0.284, 'anticipation': 0.40900000000000003}","['how', 'Can', 'want', 'understand', 'describe']"
33,10D,10D_129,A,"Well it can, but it ends up coming down to whether the chair is able to manage it in a way - so everyone's different. It's how do you manage the setting to allow people to - create space for people to step into to have their views aired, heard, discussed, debated in a constructive, supportive way. The good ones do it really well. The bad ones don't do it at all.","{'sadness': 0, 'anticipation': 0, 'fear': 0, 'surprise': 0, 'disgust': 0.016, 'anger': 0.026, 'joy': 0.132, 'trust': 1.2612}","['well.', 'different.', 'Well', ""everyone's"", 'good']"
34,10D,10D_13,A,"Yeah, yeah, more than five. But I don't - I've got a bunch that are small and private.","{'anger': 0, 'anticipation': 0.029, 'fear': 0.045, 'sadness': 0.047, 'surprise': 0.064, 'joy': 0.153, 'trust': 0.18100000000000002, 'disgust': 0.52}","['private.', 'But', 'yeah,', 'Yeah,', 'I']"
35,10D,10D_130,Q,"Is it an investment, do you think? It takes a while?","{'anger': 0, 'disgust': 0.014, 'sadness': 0.018, 'joy': 0.056, 'trust': 0.064, 'fear': 0.087, 'surprise': 0.391, 'anticipation': 0.41}","['while?', 'think?', 'Is', 'do', 'takes']"
36,10D,10D_131,A,"Yeah, yeah. It's a skill. That's on the skills matrix [overtalking] 00:36:12 -","{'sadness': 0, 'anticipation': 0, 'fear': 0, 'disgust': 0.02, 'surprise': 0.021, 'anger': 0.024, 'joy': 0.293, 'trust': 0.6829999999999999}","['skill.', 'Yeah,', 'yeah.', 'skills', ""That's""]"
37,10D,10D_132,Q,That's on the skills matrix [laugh] -,"{'sadness': 0, 'anticipation': 0, 'fear': 0.016, 'surprise': 0.036000000000000004, 'trust': 0.066, 'anger': 0.082, 'disgust': 0.102, 'joy': 0.739}","['[laugh]', ""That's"", 'on', 'the', '-']"
38,10D,10D_133,A,"- for the chair. And unfortunately, it does come with experience. I would always say to - we've got a pretty good chair at MLC. That's why I was comfortable to recommend that [Gabrielle] stick her hand up. Whereas it probably wouldn't work on another board I'm on where there would be no - this particular chair is - he's fine, but it's not the greatest dynamic. So it wouldn't work. Right?","{'sadness': 0, 'anticipation': 0, 'fear': 0, 'surprise': 0, 'anger': 0.021, 'disgust': 0.03, 'joy': 0.191, 'trust': 0.798}","['fine,', 'good', 'pretty', 'always', 'recommend']"
39,10D,10D_134,Q,"Yeah. Because even if she got on for some token reason, she wouldn't be able to [overtalking] 00:36:46 -","{'fear': 0, 'anger': 0.006, 'trust': 0.029, 'surprise': 0.063, 'sadness': 0.109, 'anticipation': 0.131, 'joy': 0.153, 'disgust': 0.551}","[""wouldn't"", 'even', 'Because', 'reason,', 'be']"
40,10D,10D_135,A,"Well even if the board accepted it, you've still got to be able to perform in that and you've got to be able to create the right environment. And not everyone's good at that.","{'anger': 0, 'fear': 0, 'surprise': 0, 'sadness': 0.023, 'anticipation': 0.024, 'disgust': 0.029, 'joy': 0.12, 'trust': 0.845}","['that.', ""everyone's"", 'able', 'able', 'right']"
41,10D,10D_136,Q,Yes. It would be then token. Is that right?,"{'sadness': 0, 'anger': 0, 'disgust': 0, 'fear': 0.009, 'surprise': 0.042, 'joy': 0.091, 'anticipation': 0.23600000000000002, 'trust': 0.663}","['right?', 'would', 'Yes.', 'Is', 'then']"
42,10D,10D_137,A,"Yeah, possibly.","{'sadness': 0, 'anger': 0, 'surprise': 0, 'disgust': 0, 'joy': 0.014, 'fear': 0.038, 'trust': 0.345, 'anticipation': 0.644}","['possibly.', 'Yeah,']"
43,10D,10D_138,Q,Yeah. Or [overtalking] 00:37:00.,"{'trust': 0, 'anger': 0.012, 'joy': 0.061, 'surprise': 0.082, 'sadness': 0.098, 'anticipation': 0.221, 'fear': 0.251, 'disgust': 0.316}","['Or', '[overtalking]', '00:37:00.', 'Yeah.']"
44,10D,10D_139,A,Well intentioned but ineffective.,"{'sadness': 0, 'fear': 0, 'surprise': 0.016, 'anger': 0.024, 'anticipation': 0.032, 'disgust': 0.052, 'joy': 0.266, 'trust': 0.651}","['ineffective.', 'intentioned', 'Well', 'but']"
45,10D,10D_14,Q,"When you say private, do you mean they're not-for-profit or -","{'anger': 0, 'sadness': 0.011, 'fear': 0.066, 'joy': 0.108, 'trust': 0.128, 'anticipation': 0.155, 'disgust': 0.272, 'surprise': 0.301}","['or', 'When', 'mean', 'do', 'not-for-profit']"
46,10D,10D_140,Q,"Ineffective. Because another question down here is about how the voice of the person from a - maybe a different background or a disadvantaged, less powerful, influential background - let's say everyone's men and there's one female or everyone's from drives Ferraris and one person uses the tram and doesn't have a Ferrari and didn't go to a private school - so socioeconomic differences - so those sort of differences, if there's not the space created, what's that look like? Can you - do you know what I mean? I'm trying to get a feel for - is it conflict? Is it -","{'anger': 0, 'sadness': 0.006, 'fear': 0.072, 'joy': 0.14, 'trust': 0.174, 'disgust': 0.189, 'anticipation': 0.21, 'surprise': 0.251}","['mean?', 'conflict?', ""what's"", 'like?', 'if']"
47,10D,10D_141,A,"No, it's not conflict. It's just they don't get a voice and they withdraw. See, when I say creating space, you've actually got to ask open-ended questions and invite people into the conversation sometimes. Particularly people who feel like, actually, I'm sitting - now it can happen in both - it can happen a different way, as well, where someone feels like <groans> I'm here [inaudible] 00:38:15 - now I need to get thing - and that's not constructive as well. So again, it just comes back to - particularly it’s the role of the chair to create the right environment to allow everyone to contribute. And that's how it can be effective.","{'anger': 0, 'fear': 0, 'surprise': 0.074, 'sadness': 0.102, 'joy': 0.112, 'anticipation': 0.152, 'trust': 0.197, 'disgust': 0.404}","['not', 'not', 'different', 'just', 'just']"
48,10D,10D_142,A,"The flip side to that is, if they don't, then the person either withdraws or tries to inject themselves and it does create tension. Maybe not conflict, but at least tension. Which is not - tension's okay, but, at a point, becomes destructive.","{'anger': 0, 'fear': 0.016, 'sadness': 0.081, 'surprise': 0.098, 'anticipation': 0.175, 'joy': 0.181, 'disgust': 0.184, 'trust': 0.308}","['but,', 'not', 'not', 'but', 'withdraws']"
49,10D,10D_143,Q,Can you describe that shift? Give me an example.,"{'sadness': 0, 'anger': 0, 'fear': 0.027, 'disgust': 0.027, 'joy': 0.078, 'trust': 0.14900000000000002, 'surprise': 0.361, 'anticipation': 0.39899999999999997}","['shift?', 'Can', 'describe', 'example.', 'Give']"
50,10D,10D_144,A,"I was on a board some years ago where the chair was ineffective. Actually, I got frustrated because I didn't feel I was getting a voice and there was just this lots of stuff going around. In retrospect, I injected in a way that was not healthy and created some conflict by getting quite forceful with - like I need to say and here's what I'm really feeling about these things is wrong. And what [inaudible] 00:39:25 it took a couple of months to recoup it.","{'joy': 0, 'fear': 0, 'surprise': 0, 'trust': 0, 'anticipation': 0.008, 'sadness': 0.1, 'anger': 0.281, 'disgust': 0.6519999999999999}","['frustrated', 'wrong.', 'ineffective.', '[inaudible]', 'conflict']"
51,10D,10D_145,A,"But what it pointed out was it was a bit dysfunctional and that this particular chair was not performing right. So that led to a whole set of different conversations. Which, in the end, worked out because that chair moved on and we've got a much better chair. And all of a sudden, the dynamic - not much else has changed around the board other than that. So some conflict can flesh stuff out, but it's also quite painful. [Long pause] and that's another example of someone who was on a board because it was all about me.","{'anticipation': 0, 'trust': 0.005, 'joy': 0.007, 'surprise': 0.009, 'anger': 0.03, 'fear': 0.036, 'disgust': 0.418, 'sadness': 0.8576}","['painful.', 'different', 'changed', 'dysfunctional', 'that.']"
52,10D,10D_146,Q,Yep. They didn't have the skills -,"{'anticipation': 0, 'trust': 0, 'fear': 0.016, 'surprise': 0.023, 'anger': 0.052, 'joy': 0.068, 'sadness': 0.136, 'disgust': 0.747}","[""didn't"", 'Yep.', 'the', 'They', '-']"
53,10D,10D_147,A,"Didn't have the skills or the awareness just to go, actually, this is a broader thing and if I do this right, I will benefit from it. But it was all about this is my opinion, this is my view, and you can't do that because that will upset over here and I don't want that on my CV. It's like, okay. So, it was an interesting dynamic. But in the end, it worked out.","{'anger': 0, 'fear': 0, 'surprise': 0, 'sadness': 0.002, 'anticipation': 0.009, 'disgust': 0.02, 'joy': 0.10900000000000001, 'trust': 0.9}","['right,', 'okay.', ""Didn't"", 'actually,', 'opinion,']"
54,10D,10D_148,Q,"But interestingly, a skills matrix would not bring that out, would it?","{'sadness': 0, 'anger': 0.002, 'fear': 0.019, 'disgust': 0.027000000000000003, 'joy': 0.127, 'trust': 0.194, 'surprise': 0.245, 'anticipation': 0.426}","['it?', 'would', 'would', 'interestingly,', 'But']"
55,10D,10D_149,A,No.,"{'trust': 0.011, 'anticipation': 0.016, 'anger': 0.025, 'surprise': 0.033, 'fear': 0.038, 'joy': 0.133, 'sadness': 0.158, 'disgust': 0.627}",['No.']
56,10D,10D_15,A,"No, they're private for profit. They're not listed. They're not public companies. So they're private investments. Mainly software. Some of them, I sit on the board of. Some of them, I don't but I just spend time with the CEO because they're a bit more - less formal, which is not necessarily a great thing. So it's partly how do you mature an organisation. So, I don't know, there's a couple I sit on the board of, a couple I don't, but just spend time with the CEO as and when required. Or roll up my sleeves and help on a project. Then there's three that I do sit on the board of in a not-for-profit, or for-purpose, I would say. Then there's two which I call professional director; larger companies. [Overtalking] 00:04:25 six or seven.","{'anger': 0, 'sadness': 0.011, 'anticipation': 0.063, 'fear': 0.069, 'joy': 0.118, 'trust': 0.153, 'surprise': 0.216, 'disgust': 0.41}","['not', 'not', 'not', 'not-for-profit,', 'when']"
57,10D,10D_150,Q,For the chair.,"{'anger': 0, 'fear': 0, 'disgust': 0.052000000000000005, 'sadness': 0.1, 'surprise': 0.122, 'trust': 0.179, 'anticipation': 0.248, 'joy': 0.33999999999999997}","['For', 'chair.', 'the']"
58,10D,10D_151,A,"This particular person ticked all the boxes according to the previous chair and board. Ticked all the boxes. Female, IT, [inaudible] 00:40:39, all those sort of things. But there was no dynamic on personality or engagement; all of those - which - anyway -","{'sadness': 0, 'anger': 0, 'surprise': 0.011, 'trust': 0.042, 'fear': 0.06, 'anticipation': 0.121, 'disgust': 0.2806, 'joy': 0.368}","['things.', 'Ticked', 'ticked', 'boxes.', 'according']"
59,10D,10D_152,Q,"Yeah. The soft skills. Okay. We want to understand - [mumbling/reading not transcribed] [long pause] Okay, look, I think you'd be really useful in answering this specifically. Are there any board functions that you feel diversity has little bearing on or none at all?","{'sadness': 0, 'anger': 0, 'fear': 0, 'disgust': 0.002, 'surprise': 0.026, 'anticipation': 0.04, 'joy': 0.205, 'trust': 1.1124}","['useful', 'skills.', 'Okay.', 'all?', 'Okay,']"
60,10D,10D_153,A,No.,"{'trust': 0.011, 'anticipation': 0.016, 'anger': 0.025, 'surprise': 0.033, 'fear': 0.038, 'joy': 0.133, 'sadness': 0.158, 'disgust': 0.627}",['No.']
61,10D,10D_154,Q,What about that capitalist situation?,"{'anger': 0, 'sadness': 0.001, 'trust': 0.062, 'joy': 0.075, 'disgust': 0.101, 'fear': 0.118, 'anticipation': 0.262, 'surprise': 0.42400000000000004}","['situation?', 'What', 'about', 'that', 'capitalist']"
62,10D,10D_155,A,"We still need - I mean, again, that comes down to what's diversity at that point? Do you have a - even that's got a conversation. Do you have a fund manager, an asset consultant, an accountant, a lawyer? That's diversity, right? That's just diversity about thinking about a particular problem. So you're always going to have - you should always have - if you've got five accountants sitting around, you'll come up with exactly the same answer. Is that diversity? Nope.","{'sadness': 0, 'anger': 0, 'disgust': 0.041, 'fear': 0.06, 'surprise': 0.082, 'joy': 0.186, 'anticipation': 0.24, 'trust': 0.432}","['right?', 'diversity?', 'point?', 'lawyer?', ""what's""]"
63,10D,10D_156,Q,I'm smiling with glee because you said what is diversity at that point? That encapsulates it. It encapsulates what you're saying. It is so dynamic.,"{'sadness': 0, 'anticipation': 0, 'fear': 0, 'anger': 0.002, 'surprise': 0.015, 'disgust': 0.029, 'trust': 0.117, 'joy': 0.879}","['glee', 'smiling', ""you're"", 'it.', 'diversity']"
64,10D,10D_157,A,And it's very situational specific [overtalking] 00:42:00 -,"{'anger': 0, 'surprise': 0.033, 'sadness': 0.051, 'trust': 0.092, 'fear': 0.096, 'joy': 0.174, 'disgust': 0.28300000000000003, 'anticipation': 0.313}","[""it's"", 'situational', 'very', 'And', '00:42:00']"
65,10D,10D_158,Q,Exactly.,"{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'anticipation': 0.007, 'disgust': 0.028, 'joy': 0.18, 'trust': 0.8260000000000001}",['Exactly.']
66,10D,10D_159,A,"And even within an organisation, to a - and you keep going down - yeah -","{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0.033, 'disgust': 0.040999999999999995, 'anticipation': 0.107, 'trust': 0.302, 'joy': 0.558}","['even', 'going', 'yeah', 'down', 'keep']"
67,10D,10D_16,Q,"Wow. Wonderful mix. We'll be drawing on that. In your answers, if you need to specify, say this is in the for profit sector - but because of this diversity you have - of experience at board level, it will be really helpful to compare and to say, well look, in this sector, in this type of - like you said private, not listed, for profit - you see, that's not even a category we have [laugh].","{'sadness': 0, 'anticipation': 0, 'fear': 0, 'disgust': 0.007, 'anger': 0.038, 'surprise': 0.303, 'joy': 0.337, 'trust': 0.356}","['Wonderful', ""that's"", 'look,', 'well', 'experience']"
68,10D,10D_160,Q,What decision are we looking at at this moment? What's the problem we're trying to solve or -,"{'anger': 0, 'joy': 0.012, 'sadness': 0.016, 'trust': 0.07200000000000001, 'fear': 0.08, 'disgust': 0.12, 'anticipation': 0.314, 'surprise': 0.428}","[""What's"", 'moment?', 'What', 'are', 'or']"
69,10D,10D_161,A,Yeah. What thinking do we need to bring around to make sure we actually cover a problem?,"{'sadness': 0, 'anger': 0, 'disgust': 0.03, 'fear': 0.047, 'joy': 0.109, 'trust': 0.205, 'surprise': 0.24, 'anticipation': 0.41000000000000003}","['problem?', 'What', 'do', 'to', 'to']"
70,10D,10D_162,Q,Beautiful. I love it. That's it quotes. Now I'd like to explore how diversity might contribute to conflict. You've described a bit the tension between - the difference between tension and conflict. Is there anything further you want to say about that?,"{'sadness': 0, 'fear': 0, 'anger': 0.007, 'anticipation': 0.03, 'disgust': 0.03, 'joy': 0.28099999999999997, 'trust': 0.298, 'surprise': 0.395}","['love', 'Beautiful.', 'how', 'that?', 'anything']"
71,10D,10D_163,A,No. [Inaudible] 00:42:31.,"{'anger': 0.006, 'sadness': 0.062, 'trust': 0.062, 'anticipation': 0.091, 'fear': 0.094, 'joy': 0.109, 'surprise': 0.17600000000000002, 'disgust': 0.44}","['[Inaudible]', 'No.', '00:42:31.']"
72,10D,10D_164,Q,There's a lot of talk about cognitive diversity and board functioning. Cognitive diversity; have you heard that term?,"{'sadness': 0, 'anger': 0.032, 'fear': 0.042, 'disgust': 0.108, 'surprise': 0.128, 'joy': 0.216, 'anticipation': 0.217, 'trust': 0.297}","['term?', 'have', 'about', ""There's"", 'and']"
73,10D,10D_165,A,I have. Don’t understand it.,"{'joy': 0.029, 'fear': 0.056, 'trust': 0.07, 'anger': 0.072, 'anticipation': 0.074, 'sadness': 0.089, 'disgust': 0.23399999999999999, 'surprise': 0.419}","['Don’t', 'have.', 'it.', 'understand', 'I']"
74,10D,10D_166,Q,"Yeah. There's some literature on it which talks about it as different approaches to problem solving, different perspectives or different information processing styles. So it's very cognitive, whereas you were talking [overtalking] 00:42:55 -","{'sadness': 0, 'anger': 0, 'surprise': 0.028, 'anticipation': 0.037, 'fear': 0.038, 'disgust': 0.174, 'joy': 0.225, 'trust': 0.538}","['different', 'different', 'different', 'So', ""it's""]"
