,Unnamed: 0,doc_id,para_id,sentence_id,author,sentence,sadness,anger,anticipation,fear,surprise,disgust,joy,trust
37,37,10D,10D_109,10D_109_sent2,A," For example, if BHP turned up tomorrow and said, we've got a 25-year-old - we'll use my example, [inaudible] 00:31:56",0,0,1,1,0,0,1,1
38,38,10D,10D_109,10D_109_sent3,A," Twenty-five year old, Chinese-born – first-generation, Chinese-born, 25-year-old blah-blah-blah with this experience [inaudible] 00:32:04 - they go, well hang on, that's ridiculous",1,1,1,1,1,1,1,0
39,39,10D,10D_109,10D_109_sent4,A, There'd be a massive backlash,0,1,1,1,0,1,0,0
40,40,10D,10D_109,10D_109_sent5,A, You've got no experience,1,1,0,1,1,1,1,0
41,41,10D,10D_109,10D_109_sent6,A," She mightn't in the vein that you're thinking, which is all about short term profits and stuff",1,0,1,1,1,1,1,1
42,42,10D,10D_109,10D_109_sent7,A," But actually, in longer term, helping the board think through how - and BHP's probably not an example",1,0,1,1,0,1,1,1
43,43,10D,10D_109,10D_109_sent8,A," Banks [are] probably a better example actually, now I think about it - Westpac",0,0,1,0,0,0,1,1
44,44,10D,10D_109,10D_109_sent9,A, They'd still - there'd be a massive backlash,0,1,1,1,1,1,1,1
45,45,10D,10D_109,10D_109_sent10,A," No experience, blah-blah-blah",0,0,1,0,1,1,1,1
46,46,10D,10D_109,10D_109_sent11,A, What are you doing? So they just wouldn't do it,1,1,1,1,1,1,1,1
47,47,10D,10D_11,10D_11_sent0,A,A number,1,0,1,1,1,1,1,1
48,48,10D,10D_11,10D_11_sent1,A, But it's -,1,0,1,1,1,1,1,1
49,49,10D,10D_110,10D_110_sent0,Q,"Yeah, yeah",0,0,0,0,0,0,1,1
50,50,10D,10D_110,10D_110_sent1,Q, Irresponsible,1,1,0,0,1,1,0,0
51,51,10D,10D_111,10D_111_sent0,A,"Yeah, irresponsible",1,1,0,0,1,1,0,0
52,52,10D,10D_111,10D_111_sent1,A," Even someone who's - you see some women with good backgrounds and they're in their 40s and they're like, oh well, you know, what's she - but it's okay",0,1,1,1,1,1,1,1
53,53,10D,10D_111,10D_111_sent2,A," You've ticked the box so that's - it's like - because their focus is, you know what? We've got to have good bankers",0,0,1,1,1,1,1,1
54,54,10D,10D_111,10D_111_sent3,A, Which is right,0,0,1,0,0,1,1,1
55,55,10D,10D_111,10D_111_sent4,A," But you also have diversity because, basically, banking's dealing with a bunch of consumers as well",0,0,1,0,0,1,1,1
56,56,10D,10D_111,10D_111_sent5,A," And if you've got no one around the board who's actually used an app, who understands WeChat or any of that sort of stuff - which most won't",1,0,1,1,1,1,1,1
57,57,10D,10D_111,10D_111_sent6,A," Or go and - well we'll learn, because we'll go on a study tour to the west coast of the US and we'll charge them - like please, it's just ridiculous",1,1,1,1,1,1,1,1
58,58,10D,10D_112,10D_112_sent0,Q,It's a no-brainer,1,1,0,0,1,1,1,0
59,59,10D,10D_112,10D_112_sent1,Q, Yeah,0,0,0,0,0,0,1,1
60,60,10D,10D_113,10D_113_sent0,A,"So it does have an impact, in my view",0,0,1,0,0,0,1,1
61,61,10D,10D_113,10D_113_sent1,A, [Overtalking] 00:33:24,1,1,1,1,1,1,1,1
62,62,10D,10D_114,10D_114_sent0,Q,Yep,0,0,1,0,0,0,1,1
63,63,10D,10D_114,10D_114_sent1,Q, [Inaudible] 00:33:28,1,1,1,1,1,1,1,1
64,64,10D,10D_114,10D_114_sent2,Q, Do you think there's a particular kind of diversity that matters more than others? Or do you think that's situation dependent?,1,1,1,1,1,1,1,1
65,65,10D,10D_115,10D_115_sent0,A,"Yeah, it's very much situation dependent",0,0,0,0,0,1,1,1
66,66,10D,10D_116,10D_116_sent0,Q,And you've given me an example of the young woman at the school,0,1,1,0,1,1,1,1
67,67,10D,10D_116,10D_116_sent1,Q, Because she's [overtalking] 00:33:51 -,1,1,1,1,1,1,0,0
68,68,10D,10D_117,10D_117_sent0,A,Yeah,0,0,0,0,0,0,1,1
69,69,10D,10D_117,10D_117_sent1,A, It's situation dependent on so many different things,0,0,1,1,1,1,1,1
70,70,10D,10D_118,10D_118_sent0,Q,[Inaudible] 00:33:54,1,1,1,1,1,1,1,1
71,71,10D,10D_119,10D_119_sent0,A,Well how is the board performing today? What difference is that person you add going to make in terms of the way that board works? What things are missing? What's the dynamic with the CEO and the management team? What particular challenges is that organisation facing or going to face? There's just so many different things that - are they B2B versus B2C? Are they B2B2C? What are they? There's just so many things,1,0,1,1,1,1,1,1
72,72,10D,10D_119,10D_119_sent1,A, So that's why I look at it as you've just got to approach it on a case by case basis,0,0,1,1,1,0,1,1
73,73,10D,10D_119,10D_119_sent2,A, Which is why I'm interested to see how can you come up with model? I struggle [overtalking] 00:34:39 -,1,1,1,1,1,1,1,1
74,74,10D,10D_12,10D_12_sent0,Q,More than five?,0,0,1,1,1,1,1,1
75,75,10D,10D_120,10D_120_sent0,Q,Yeah,0,0,0,0,0,0,1,1
76,76,10D,10D_120,10D_120_sent1,Q, A very good concept of trying to come up with a model -,0,1,0,0,1,1,1,1
77,77,10D,10D_121,10D_121_sent0,A,- with a model,1,1,1,1,1,1,1,1
78,78,10D,10D_121,10D_121_sent1,A, It doesn't make sense to me,1,1,1,1,1,1,1,1
79,79,10D,10D_122,10D_122_sent0,Q,It doesn't matter,1,1,0,0,1,1,1,1
80,80,10D,10D_122,10D_122_sent1,Q, Models can be pretty organic,0,1,0,0,1,1,1,1
81,81,10D,10D_122,10D_122_sent2,Q, Ideas of models can be very schematic; a bit like a philosophical concept,0,1,1,0,0,1,1,1
82,82,10D,10D_122,10D_122_sent3,Q," You know, three words [laugh] with interesting - I don't know",1,1,1,1,1,1,1,1
83,83,10D,10D_122,10D_122_sent4,Q, I don't know,0,0,1,1,1,1,1,1
84,84,10D,10D_122,10D_122_sent5,Q, It obviously can't be a causal model,1,1,1,1,1,1,1,1
85,85,10D,10D_123,10D_123_sent0,A,I think they'd struggle,1,0,1,1,1,1,1,1
86,86,10D,10D_124,10D_124_sent0,Q,"Because of - yeah, there's too many factors and uncertainties",1,0,1,1,1,1,1,1
87,87,10D,10D_125,10D_125_sent0,A,Well you could,0,0,1,0,0,0,1,1
88,88,10D,10D_125,10D_125_sent1,A, But you run the risk of coming up with the wrong answer,1,0,1,1,1,1,1,1
89,89,10D,10D_125,10D_125_sent2,A," Because you've targeted that because that's what the data seems to be saying, but what [inaudible] [overtalking] 00:35:15 all that stuff -",1,1,1,1,1,1,1,1
90,90,10D,10D_126,10D_126_sent0,Q,"Yeah, yeah",0,0,0,0,0,0,1,1
91,91,10D,10D_126,10D_126_sent1,Q, This is qualitative research and I'm very qualitative,0,0,1,0,0,0,1,1
92,92,10D,10D_126,10D_126_sent2,Q, The models that I do are more concepts so you get the sense of the complexity rather than -,0,0,1,0,1,1,1,1
93,93,10D,10D_127,10D_127_sent0,A,Yep,0,0,1,0,0,0,1,1
94,94,10D,10D_128,10D_128_sent0,Q,Board functioning,0,0,1,1,1,1,1,1
95,95,10D,10D_128,10D_128_sent1,Q, We want to understand how diversity influences board functioning,0,1,1,1,1,0,1,1
96,96,10D,10D_128,10D_128_sent2,Q, Can you describe -,1,1,1,1,1,1,1,1
97,97,10D,10D_129,10D_129_sent0,A,"Well it can, but it ends up coming down to whether the chair is able to manage it in a way - so everyone's different",0,0,1,1,1,1,1,1
98,98,10D,10D_129,10D_129_sent1,A," It's how do you manage the setting to allow people to - create space for people to step into to have their views aired, heard, discussed, debated in a constructive, supportive way",0,1,1,1,0,0,1,1
99,99,10D,10D_129,10D_129_sent2,A, The good ones do it really well,0,1,0,0,1,0,1,1
100,100,10D,10D_129,10D_129_sent3,A, The bad ones don't do it at all,1,1,0,1,1,1,1,0
101,101,10D,10D_13,10D_13_sent0,A,"Yeah, yeah, more than five",0,1,1,0,0,1,1,1
102,102,10D,10D_13,10D_13_sent1,A, But I don't - I've got a bunch that are small and private,1,1,1,1,1,1,1,1
103,103,10D,10D_130,10D_130_sent0,Q,"Is it an investment, do you think? It takes a while?",1,0,1,1,1,1,1,1
104,104,10D,10D_131,10D_131_sent0,A,"Yeah, yeah",0,0,0,0,0,0,1,1
105,105,10D,10D_131,10D_131_sent1,A, It's a skill,0,1,0,0,1,1,1,1
106,106,10D,10D_131,10D_131_sent2,A, That's on the skills matrix [overtalking] 00:36:12 -,0,1,1,1,1,1,1,1
107,107,10D,10D_132,10D_132_sent0,Q,That's on the skills matrix [laugh] -,0,1,0,1,1,1,1,1
108,108,10D,10D_133,10D_133_sent0,A,- for the chair,1,1,1,0,1,1,1,1
109,109,10D,10D_133,10D_133_sent1,A," And unfortunately, it does come with experience",1,1,0,1,1,1,0,1
110,110,10D,10D_133,10D_133_sent2,A, I would always say to - we've got a pretty good chair at MLC,0,1,0,0,1,1,1,1
111,111,10D,10D_133,10D_133_sent3,A, That's why I was comfortable to recommend that [Gabrielle] stick her hand up,0,0,1,0,0,1,1,1
112,112,10D,10D_133,10D_133_sent4,A," Whereas it probably wouldn't work on another board I'm on where there would be no - this particular chair is - he's fine, but it's not the greatest dynamic",1,1,1,0,0,1,1,1
113,113,10D,10D_133,10D_133_sent5,A, So it wouldn't work,1,1,1,1,1,1,1,1
114,114,10D,10D_133,10D_133_sent6,A, Right?,0,0,1,1,1,0,1,1
115,115,10D,10D_134,10D_134_sent0,Q,Yeah,0,0,0,0,0,0,1,1
116,116,10D,10D_134,10D_134_sent1,Q," Because even if she got on for some token reason, she wouldn't be able to [overtalking] 00:36:46 -",1,1,1,1,1,1,1,1
117,117,10D,10D_135,10D_135_sent0,A,"Well even if the board accepted it, you've still got to be able to perform in that and you've got to be able to create the right environment",0,0,1,0,0,0,1,1
118,118,10D,10D_135,10D_135_sent1,A, And not everyone's good at that,1,1,0,1,1,1,1,0
119,119,10D,10D_136,10D_136_sent0,Q,Yes,0,0,0,0,0,1,1,1
120,120,10D,10D_136,10D_136_sent1,Q, It would be then token,1,0,1,0,1,0,1,1
121,121,10D,10D_136,10D_136_sent2,Q, Is that right?,0,0,1,1,1,0,1,1
122,122,10D,10D_137,10D_137_sent0,A,"Yeah, possibly",0,0,1,1,0,0,1,1
123,123,10D,10D_138,10D_138_sent0,Q,Yeah,0,0,0,0,0,0,1,1
124,124,10D,10D_138,10D_138_sent1,Q, Or [overtalking] 00:37:00,1,1,1,1,1,1,1,1
125,125,10D,10D_139,10D_139_sent0,A,Well intentioned but ineffective,0,1,1,0,1,1,1,1
126,126,10D,10D_14,10D_14_sent0,Q,"When you say private, do you mean they're not-for-profit or -",1,0,1,1,1,1,1,1
127,127,10D,10D_140,10D_140_sent0,Q,Ineffective,1,1,0,1,1,1,0,1
128,128,10D,10D_140,10D_140_sent1,Q," Because another question down here is about how the voice of the person from a - maybe a different background or a disadvantaged, less powerful, influential background - let's say everyone's men and there's one female or everyone's from drives Ferraris and one person uses the tram and doesn't have a Ferrari and didn't go to a private school - so socioeconomic differences - so those sort of differences, if there's not the space created, what's that look like? Can you - do you know what I mean? I'm trying to get a feel for - is it conflict? Is it -",0,0,1,1,1,1,1,1
129,129,10D,10D_141,10D_141_sent0,A,"No, it's not conflict",1,0,0,0,1,1,1,1
130,130,10D,10D_141,10D_141_sent1,A, It's just they don't get a voice and they withdraw,1,1,1,0,1,1,1,1
131,131,10D,10D_141,10D_141_sent2,A," See, when I say creating space, you've actually got to ask open-ended questions and invite people into the conversation sometimes",1,1,1,1,1,1,1,1
132,132,10D,10D_141,10D_141_sent3,A," Particularly people who feel like, actually, I'm sitting - now it can happen in both - it can happen a different way, as well, where someone feels like <groans> I'm here [inaudible] 00:38:15 - now I need to get thing - and that's not constructive as well",1,0,1,1,1,1,1,1
133,133,10D,10D_141,10D_141_sent4,A," So again, it just comes back to - particularly it’s the role of the chair to create the right environment to allow everyone to contribute",0,0,1,0,0,1,1,1
134,134,10D,10D_141,10D_141_sent5,A, And that's how it can be effective,0,0,1,0,0,0,1,1
135,135,10D,10D_142,10D_142_sent0,A,"The flip side to that is, if they don't, then the person either withdraws or tries to inject themselves and it does create tension",1,1,1,1,1,1,1,1
136,136,10D,10D_142,10D_142_sent1,A," Maybe not conflict, but at least tension",0,0,1,1,1,1,1,1
137,137,10D,10D_142,10D_142_sent2,A," Which is not - tension's okay, but, at a point, becomes destructive",1,0,1,0,1,1,1,1
138,138,10D,10D_143,10D_143_sent0,Q,Can you describe that shift? Give me an example,0,0,1,1,1,1,1,1
139,139,10D,10D_144,10D_144_sent0,A,I was on a board some years ago where the chair was ineffective,1,1,0,1,1,1,0,0
140,140,10D,10D_144,10D_144_sent1,A," Actually, I got frustrated because I didn't feel I was getting a voice and there was just this lots of stuff going around",1,1,0,0,0,1,0,0
141,141,10D,10D_144,10D_144_sent2,A," In retrospect, I injected in a way that was not healthy and created some conflict by getting quite forceful with - like I need to say and here's what I'm really feeling about these things is wrong",1,1,1,1,1,1,1,1
142,142,10D,10D_144,10D_144_sent3,A, And what [inaudible] 00:39:25 it took a couple of months to recoup it,1,0,1,1,1,1,1,1
143,143,10D,10D_145,10D_145_sent0,A,But what it pointed out was it was a bit dysfunctional and that this particular chair was not performing right,1,1,1,1,1,1,1,0
144,144,10D,10D_145,10D_145_sent1,A, So that led to a whole set of different conversations,1,1,1,1,1,1,1,1
145,145,10D,10D_145,10D_145_sent2,A," Which, in the end, worked out because that chair moved on and we've got a much better chair",0,0,1,0,1,0,1,1
146,146,10D,10D_145,10D_145_sent3,A," And all of a sudden, the dynamic - not much else has changed around the board other than that",1,0,1,1,1,1,1,1
147,147,10D,10D_145,10D_145_sent4,A," So some conflict can flesh stuff out, but it's also quite painful",1,1,0,0,1,1,0,0
148,148,10D,10D_145,10D_145_sent5,A, [Long pause] and that's another example of someone who was on a board because it was all about me,0,1,1,1,1,1,1,1
149,149,10D,10D_146,10D_146_sent0,Q,Yep,0,0,1,0,0,0,1,1
150,150,10D,10D_146,10D_146_sent1,Q, They didn't have the skills -,1,1,1,1,1,1,1,1
151,151,10D,10D_147,10D_147_sent0,A,"Didn't have the skills or the awareness just to go, actually, this is a broader thing and if I do this right, I will benefit from it",0,0,1,0,0,0,1,1
152,152,10D,10D_147,10D_147_sent1,A," But it was all about this is my opinion, this is my view, and you can't do that because that will upset over here and I don't want that on my CV",1,1,1,1,1,1,1,1
153,153,10D,10D_147,10D_147_sent2,A," It's like, okay",0,0,0,0,0,0,1,1
154,154,10D,10D_147,10D_147_sent3,A," So, it was an interesting dynamic",0,0,0,0,1,1,1,1
155,155,10D,10D_147,10D_147_sent4,A," But in the end, it worked out",0,0,1,0,0,1,1,1
156,156,10D,10D_148,10D_148_sent0,Q,"But interestingly, a skills matrix would not bring that out, would it?",0,1,1,1,1,1,1,1
157,157,10D,10D_149,10D_149_sent0,A,No,1,1,1,1,1,1,1,1
158,158,10D,10D_15,10D_15_sent0,A,"No, they're private for profit",1,1,1,1,1,1,1,1
159,159,10D,10D_15,10D_15_sent1,A, They're not listed,1,1,1,1,1,1,1,0
160,160,10D,10D_15,10D_15_sent2,A, They're not public companies,1,1,1,0,1,1,1,1
161,161,10D,10D_15,10D_15_sent3,A, So they're private investments,1,1,1,1,1,1,1,1
162,162,10D,10D_15,10D_15_sent4,A, Mainly software,1,0,1,1,1,1,1,1
163,163,10D,10D_15,10D_15_sent5,A," Some of them, I sit on the board of",1,1,1,1,1,0,1,1
164,164,10D,10D_15,10D_15_sent6,A," Some of them, I don't but I just spend time with the CEO because they're a bit more - less formal, which is not necessarily a great thing",1,1,1,1,1,1,1,1
165,165,10D,10D_15,10D_15_sent7,A, So it's partly how do you mature an organisation,1,0,1,1,1,1,1,1
166,166,10D,10D_15,10D_15_sent8,A," So, I don't know, there's a couple I sit on the board of, a couple I don't, but just spend time with the CEO as and when required",0,0,1,1,1,1,1,1
167,167,10D,10D_15,10D_15_sent9,A, Or roll up my sleeves and help on a project,1,1,1,1,1,1,1,1
168,168,10D,10D_15,10D_15_sent10,A," Then there's three that I do sit on the board of in a not-for-profit, or for-purpose, I would say",0,1,1,0,0,1,1,1
169,169,10D,10D_15,10D_15_sent11,A, Then there's two which I call professional director; larger companies,1,1,1,0,1,1,1,1
170,170,10D,10D_15,10D_15_sent12,A, [Overtalking] 00:04:25 six or seven,1,1,1,1,1,1,1,1
171,171,10D,10D_150,10D_150_sent0,Q,For the chair,1,1,1,0,1,1,1,1
172,172,10D,10D_151,10D_151_sent0,A,This particular person ticked all the boxes according to the previous chair and board,0,1,1,1,1,1,1,1
173,173,10D,10D_151,10D_151_sent1,A, Ticked all the boxes,0,1,1,1,0,1,1,1
174,174,10D,10D_151,10D_151_sent2,A," Female, IT, [inaudible] 00:40:39, all those sort of things",1,1,1,1,1,1,1,1
175,175,10D,10D_151,10D_151_sent3,A, But there was no dynamic on personality or engagement; all of those - which - anyway -,1,1,1,1,1,1,1,1
176,176,10D,10D_152,10D_152_sent0,Q,Yeah,0,0,0,0,0,0,1,1
177,177,10D,10D_152,10D_152_sent1,Q, The soft skills,0,1,1,0,1,1,1,1
178,178,10D,10D_152,10D_152_sent2,Q, Okay,0,0,0,0,0,0,1,1
179,179,10D,10D_152,10D_152_sent3,Q," We want to understand - [mumbling/reading not transcribed] [long pause] Okay, look, I think you'd be really useful in answering this specifically",0,0,1,0,0,0,1,1
180,180,10D,10D_152,10D_152_sent4,Q, Are there any board functions that you feel diversity has little bearing on or none at all?,1,0,1,1,1,1,1,1
181,181,10D,10D_153,10D_153_sent0,A,No,1,1,1,1,1,1,1,1
182,182,10D,10D_154,10D_154_sent0,Q,What about that capitalist situation?,1,0,1,1,1,1,1,1
183,183,10D,10D_155,10D_155_sent0,A,"We still need - I mean, again, that comes down to what's diversity at that point? Do you have a - even that's got a conversation",1,0,1,1,1,1,1,1
184,184,10D,10D_155,10D_155_sent1,A," Do you have a fund manager, an asset consultant, an accountant, a lawyer? That's diversity, right? That's just diversity about thinking about a particular problem",0,1,1,1,0,1,1,1
185,185,10D,10D_155,10D_155_sent2,A," So you're always going to have - you should always have - if you've got five accountants sitting around, you'll come up with exactly the same answer",0,0,1,0,0,0,1,1
186,186,10D,10D_155,10D_155_sent3,A, Is that diversity? Nope,1,1,1,1,1,1,1,1
187,187,10D,10D_156,10D_156_sent0,Q,I'm smiling with glee because you said what is diversity at that point? That encapsulates it,0,0,0,0,1,1,1,1
188,188,10D,10D_156,10D_156_sent1,Q, It encapsulates what you're saying,0,0,1,0,1,0,1,1
189,189,10D,10D_156,10D_156_sent2,Q, It is so dynamic,0,1,1,1,1,1,1,1
190,190,10D,10D_157,10D_157_sent0,A,And it's very situational specific [overtalking] 00:42:00 -,1,0,1,1,1,1,1,1
191,191,10D,10D_158,10D_158_sent0,Q,Exactly,0,0,1,0,0,1,1,1
192,192,10D,10D_159,10D_159_sent0,A,"And even within an organisation, to a - and you keep going down - yeah -",0,0,1,0,1,1,1,1
193,193,10D,10D_16,10D_16_sent0,Q,Wow,0,0,1,0,1,0,1,0
194,194,10D,10D_16,10D_16_sent1,Q, Wonderful mix,0,1,0,0,1,1,1,1
195,195,10D,10D_16,10D_16_sent2,Q, We'll be drawing on that,0,0,1,0,0,0,1,1
196,196,10D,10D_16,10D_16_sent3,Q," In your answers, if you need to specify, say this is in the for profit sector - but because of this diversity you have - of experience at board level, it will be really helpful to compare and to say, well look, in this sector, in this type of - like you said private, not listed, for profit - you see, that's not even a category we have [laugh]",1,1,1,1,1,1,1,1
197,197,10D,10D_160,10D_160_sent0,Q,What decision are we looking at at this moment? What's the problem we're trying to solve or -,1,0,1,1,1,1,1,1
198,198,10D,10D_161,10D_161_sent0,A,Yeah,0,0,0,0,0,0,1,1
199,199,10D,10D_161,10D_161_sent1,A, What thinking do we need to bring around to make sure we actually cover a problem?,0,0,1,1,1,1,1,1
200,200,10D,10D_162,10D_162_sent0,Q,Beautiful,0,1,0,0,1,1,1,1
201,201,10D,10D_162,10D_162_sent1,Q, I love it,1,0,1,0,1,1,1,1
202,202,10D,10D_162,10D_162_sent2,Q, That's it quotes,0,0,1,0,1,1,1,1
203,203,10D,10D_162,10D_162_sent3,Q, Now I'd like to explore how diversity might contribute to conflict,0,0,1,1,1,1,1,1
204,204,10D,10D_162,10D_162_sent4,Q, You've described a bit the tension between - the difference between tension and conflict,1,1,1,1,1,1,1,1
205,205,10D,10D_162,10D_162_sent5,Q, Is there anything further you want to say about that?,0,0,1,1,1,1,1,1
206,206,10D,10D_163,10D_163_sent0,A,No,1,1,1,1,1,1,1,1
207,207,10D,10D_163,10D_163_sent1,A, [Inaudible] 00:42:31,1,1,1,1,1,1,1,1
208,208,10D,10D_164,10D_164_sent0,Q,There's a lot of talk about cognitive diversity and board functioning,1,1,1,1,1,1,1,1
209,209,10D,10D_164,10D_164_sent1,Q, Cognitive diversity; have you heard that term?,0,1,1,1,1,1,1,1
210,210,10D,10D_165,10D_165_sent0,A,I have,0,1,1,0,1,1,1,1
211,211,10D,10D_165,10D_165_sent1,A, Don’t understand it,1,1,1,1,1,1,1,1
212,212,10D,10D_166,10D_166_sent0,Q,Yeah,0,0,0,0,0,0,1,1
213,213,10D,10D_166,10D_166_sent1,Q," There's some literature on it which talks about it as different approaches to problem solving, different perspectives or different information processing styles",0,1,1,1,1,1,1,1
214,214,10D,10D_166,10D_166_sent2,Q," So it's very cognitive, whereas you were talking [overtalking] 00:42:55 -",1,1,1,1,1,1,1,1
215,215,10D,10D_167,10D_167_sent0,A,Yeah,0,0,0,0,0,0,1,1
216,216,10D,10D_167,10D_167_sent1,A, It's just another [overtalking] 00:42:56,1,1,1,1,1,1,1,1
217,217,10D,10D_167,10D_167_sent2,A," [Long pause] but it's also think - so if I understand that right, it's thinking",0,0,1,0,0,0,1,1
218,218,10D,10D_167,10D_167_sent3,A, So I sit on the board where I'm pretty sure one of the guys is - it is a guy - is on the autism spectrum,0,0,1,1,1,1,1,1
219,219,10D,10D_167,10D_167_sent4,A, He's very literal and he's got a really good application of thinking around frameworks,0,1,0,0,1,1,1,1
220,220,10D,10D_167,10D_167_sent5,A," Because he needs to - as part of this - I need to have it sit within a framework every time I think about it, otherwise it's not good for - and he's really quite constructive in certain conversations",0,0,1,0,0,1,1,1
221,221,10D,10D_167,10D_167_sent6,A," In other conversations, it's hopeless",1,1,0,1,1,1,0,0
222,222,10D,10D_167,10D_167_sent7,A, Because it's not [inaudible] 00:43:38 - so it's trying to manage that,1,0,1,1,1,1,1,1
223,223,10D,10D_167,10D_167_sent8,A, But that's another form of diversity that really can be quite powerful,0,1,1,0,1,1,1,1
224,224,10D,10D_167,10D_167_sent9,A, Managed appropriately,0,0,1,0,0,1,1,1
225,225,10D,10D_168,10D_168_sent0,Q,Yeah,0,0,0,0,0,0,1,1
226,226,10D,10D_168,10D_168_sent1,Q, That would be really interesting because anxiety can be a problem -,0,0,1,1,1,1,1,0
227,227,10D,10D_169,10D_169_sent0,A,Yep,0,0,1,0,0,0,1,1
228,228,10D,10D_169,10D_169_sent1,A, That then brings out a manifest in different emotional responses,1,0,1,1,1,1,1,1
